region,county_name,campground_tag_ID,campground_ID,county_ID,camping_site_name,address,Tag,ref_keywords,tag_count,latitude,longitude
北區,台北市,657,435,1,中華民國童軍苗圃營地,台北市北投區竹子湖路1-10號,營地維護佳,維護｜整理｜清理,1,25.132419,121.501379
北區,台北市,658,435,1,中華民國童軍苗圃營地,台北市北投區竹子湖路1-10號,適合團體或家族出遊,童軍們｜童軍營,1,25.132419,121.501379
北區,台北市,659,435,1,中華民國童軍苗圃營地,台北市北投區竹子湖路1-10號,適合夏天,避暑,1,25.132419,121.501379
北區,台北市,1369,648,1,客泊樂 Kamper Land,台北市中山區一段民生東路9樓29號,親子友善,小孩｜親子｜適合｜活動,1,25.0643611,121.533468
北區,台北市,1370,648,1,客泊樂 Kamper Land,台北市中山區一段民生東路9樓29號,服務態度佳,人員｜值得｜協助｜太太｜好評｜工作｜感謝｜提供｜服務｜親切｜營主用心經營(此TAG不存在，故不選取)｜細節,1,25.0643611,121.533468
北區,台北市,2817,1074,1,碧山露營場,台北市內湖區碧山路26-6號,寵物友善,寵物,1,25.069664,121.5889983
北區,台北市,2818,1074,1,碧山露營場,台北市內湖區碧山路26-6號,淋浴設備佳,淋浴,1,25.069664,121.5889983
北區,台北市,2819,1074,1,碧山露營場,台北市內湖區碧山路26-6號,景觀漂亮,景觀｜風景,1,25.069664,121.5889983
北區,台北市,2820,1074,1,碧山露營場,台北市內湖區碧山路26-6號,靠近市區,台北市｜市區,1,25.069664,121.5889983
北區,台北市,2821,1074,1,碧山露營場,台北市內湖區碧山路26-6號,廁所整潔,乾淨｜廁所,1,25.069664,121.5889983
北區,台北市,3218,1190,1,華中露營場,台北市萬華區萬大路底號華中河濱公園(左區,nan,nan,1,25.0319327,121.4993322
北區,台北市,3287,1215,1,蟬說: 暖硫 Chanshuo Warm Flow Glamping,台北市士林區菁山路101巷71弄16號,服務態度佳,服務｜服務態度｜很棒,1,25.0918396,121.5242068
北區,台北市,3288,1215,1,蟬說: 暖硫 Chanshuo Warm Flow Glamping,台北市士林區菁山路101巷71弄16號,景觀漂亮,很漂亮,1,25.0918396,121.5242068
北區,台北市,3289,1215,1,蟬說: 暖硫 Chanshuo Warm Flow Glamping,台北市士林區菁山路101巷71弄16號,廁所整潔,乾淨｜廁所,1,25.0918396,121.5242068
北區,台北市,3290,1215,1,蟬說: 暖硫 Chanshuo Warm Flow Glamping,台北市士林區菁山路101巷71弄16號,靠近市區,市中心,1,25.0918396,121.5242068
