region,county_name,campground_tag_ID,campground_ID,county_ID,camping_site_name,address,Tag,ref_keywords,tag_count
北區,台北市,657,435,1,中華民國童軍苗圃營地,台北市北投區竹子湖路1-10號,營地維護佳,維護｜整理｜清理,1
北區,台北市,658,435,1,中華民國童軍苗圃營地,台北市北投區竹子湖路1-10號,適合團體或家族出遊,童軍們｜童軍營,1
北區,台北市,659,435,1,中華民國童軍苗圃營地,台北市北投區竹子湖路1-10號,適合夏天,避暑,1
北區,台北市,1369,648,1,"客泊樂 Kamper Land",台北市中山區一段民生東路9樓29號,親子友善,小孩｜親子｜適合｜活動,1
北區,台北市,1370,648,1,"客泊樂 Kamper Land",台北市中山區一段民生東路9樓29號,服務態度佳,人員｜值得｜協助｜太太｜好評｜工作｜感謝｜提供｜服務｜親切｜營主用心經營(此TAG不存在，故不選取)｜細節,1
北區,台北市,2817,1074,1,碧山露營場,台北市內湖區碧山路26-6號,寵物友善,寵物,1
北區,台北市,2818,1074,1,碧山露營場,台北市內湖區碧山路26-6號,淋浴設備佳,淋浴,1
北區,台北市,2819,1074,1,碧山露營場,台北市內湖區碧山路26-6號,景觀漂亮,景觀｜風景,1
北區,台北市,2820,1074,1,碧山露營場,台北市內湖區碧山路26-6號,靠近市區,台北市｜市區,1
北區,台北市,2821,1074,1,碧山露營場,台北市內湖區碧山路26-6號,廁所整潔,乾淨｜廁所,1
北區,台北市,3218,1190,1,華中露營場,台北市萬華區萬大路底號華中河濱公園(左區,nan,nan,1
北區,台北市,3287,1215,1,"蟬說: 暖硫 Chanshuo Warm Flow Glamping",台北市士林區菁山路101巷71弄16號,服務態度佳,服務｜服務態度｜很棒,1
北區,台北市,3288,1215,1,"蟬說: 暖硫 Chanshuo Warm Flow Glamping",台北市士林區菁山路101巷71弄16號,景觀漂亮,很漂亮,1
北區,台北市,3289,1215,1,"蟬說: 暖硫 Chanshuo Warm Flow Glamping",台北市士林區菁山路101巷71弄16號,廁所整潔,乾淨｜廁所,1
北區,台北市,3290,1215,1,"蟬說: 暖硫 Chanshuo Warm Flow Glamping",台北市士林區菁山路101巷71弄16號,靠近市區,市中心,1
北區,台北市,3345,1237,1,貴子坑露營場,台北市北投區秀山路85巷80號,廁所整潔,乾淨｜廁所,1
北區,台北市,3346,1237,1,貴子坑露營場,台北市北投區秀山路85巷80號,插座充足,插座,1
北區,台北市,3664,1333,1,陽明山菁山遊憩區露營區,台北市士林區菁山路101巷71弄16號,廁所整潔,不錯｜乾淨｜廁所,1
北區,台北市,3665,1333,1,陽明山菁山遊憩區露營區,台北市士林區菁山路101巷71弄16號,服務態度佳,服務｜服務人員｜親切,1
北區,台北市,3666,1333,1,陽明山菁山遊憩區露營區,台北市士林區菁山路101巷71弄16號,生活機能便利,市區,1
北區,台北市,3789,1368,1,露營車出租(預約送到府)雙北,台北市大同區民生西路8樓432號,親子友善,小孩｜小朋友｜爸爸,1
北區,台北市,3790,1368,1,露營車出租(預約送到府)雙北,台北市大同區民生西路8樓432號,服務態度佳,仔細｜推薦｜推薦給｜提供｜方便｜服務｜很棒｜還會,1
北區,新北市,46,40,2,十分自然露營區,新北市平溪區靜安路三段391號,親子友善,小孩｜小朋友,1
北區,新北市,47,40,2,十分自然露營區,新北市平溪區靜安路三段391號,廁所整潔,乾淨｜廁所,1
北區,新北市,48,40,2,十分自然露營區,新北市平溪區靜安路三段391號,營地維護佳,整理｜乾淨｜營地,1
北區,新北市,107,86,2,大羅蘭,新北市烏來區大羅蘭七號,廁所整潔,乾淨｜廁所,1
北區,新北市,108,86,2,大羅蘭,新北市烏來區大羅蘭七號,營地維護佳,營主｜營地｜環境｜規劃,1
北區,新北市,109,86,2,大羅蘭,新北市烏來區大羅蘭七號,服務態度佳,營主｜推薦｜很棒,1
北區,新北市,110,86,2,大羅蘭,新北市烏來區大羅蘭七號,適合團體或家族出遊,包場｜大家｜小孩｜朋友,1
北區,新北市,300,242,2,福山達卡露營區,新北市烏來區大羅蘭19之1號,營地維護佳,乾淨｜舒服｜營地｜碎石,1
北區,新北市,301,242,2,福山達卡露營區,新北市烏來區大羅蘭19之1號,廁所整潔,乾淨｜廁所｜衛浴,1
北區,新北市,302,242,2,福山達卡露營區,新北市烏來區大羅蘭19之1號,服務態度佳,親切｜營主,1
北區,新北市,417,363,2,19庄-海景露營庄園,新北市三芝區北勢子19號,景觀漂亮,海景｜海浪｜海邊｜無敵,1
北區,新北市,418,363,2,19庄-海景露營庄園,新北市三芝區北勢子19號,營主用心經營,營主｜親切｜服務,1
北區,新北市,620,421,2,三峽樂樂谷車泊車宿木屋露營烤肉園區,新北市三峽區153-1號,廁所整潔,乾淨｜廁所,1
北區,新北市,621,421,2,三峽樂樂谷車泊車宿木屋露營烤肉園區,新北市三峽區153-1號,營主用心經營,營主｜親切｜解決｜努力,1
北區,新北市,634,426,2,三芝老農夫農場,新北市三芝區芝蘭路62之5號,廁所整潔,不錯｜乾淨｜廁所,1
北區,新北市,635,426,2,三芝老農夫農場,新北市三芝區芝蘭路62之5號,營主用心經營,服務｜營主｜用心｜親切｜超好｜超級,1
北區,新北市,636,426,2,三芝老農夫農場,新北市三芝區芝蘭路62之5號,營地維護佳,營地｜環境｜舒服｜舒適｜草皮,1
北區,新北市,660,436,2,"丹內丹內野奢莊園 DANNEI GLAMPING",新北市貢寮區仁和路21號,親子友善,孩子｜射箭｜活動,1
北區,新北市,661,436,2,"丹內丹內野奢莊園 DANNEI GLAMPING",新北市貢寮區仁和路21號,服務態度佳,服務｜用心｜親切,1
北區,新北市,662,436,2,"丹內丹內野奢莊園 DANNEI GLAMPING",新北市貢寮區仁和路21號,自然生態豐富,生態｜環境,1
北區,新北市,867,500,2,十三層營地,新北市雙溪區UnnamedRd,親子友善,小朋友｜戲水｜玩水,1
北區,新北市,868,500,2,十三層營地,新北市雙溪區UnnamedRd,淋浴設備佳,淋浴,1
北區,新北市,869,500,2,十三層營地,新北市雙溪區UnnamedRd,景觀漂亮,風景｜綠水｜美的,1
北區,新北市,870,500,2,十三層營地,新北市雙溪區UnnamedRd,營地維護佳,乾淨｜草地｜碎石,1
北區,新北市,871,500,2,十三層營地,新北市雙溪區UnnamedRd,服務態度佳,親切,1
北區,新北市,883,506,2,半島秘境,新北市石門區下員坑15號,親子友善,小孩,1
北區,新北市,884,506,2,半島秘境,新北市石門區下員坑15號,服務態度佳,態度｜服務｜服務人員｜親切｜幫忙｜協助,1
北區,新北市,1118,576,2,坪安潭營地,新北市坪林區大粗坑6之1號,廁所整潔,不錯｜乾淨,1
北區,新北市,1119,576,2,坪安潭營地,新北市坪林區大粗坑6之1號,水上活動豐富,戲水｜溪水｜玩水｜釣魚,1
北區,新北市,1238,609,2,大舌湖營地,新北市坪林區大舌湖30號,夜間安靜,很安靜,1
北區,新北市,1239,609,2,大舌湖營地,新北市坪林區大舌湖30號,電信訊號良好,機信號,1
北區,新北市,1240,609,2,大舌湖營地,新北市坪林區大舌湖30號,景觀漂亮,風景｜優美｜清澈,1
